frame,wheel,cat,drops,level,tf,az
BMC Roadmachine,Bontrager Aeolus5,Road,951300,21,51:15.5,49:20.0
BMC Roadmachine,CADEX 36,Road,1038300,26,51:28.0,49:15.5
BMC Roadmachine,CADEX 42,Road,1008100,21,51:18.5,49:18.0
BMC Roadmachine,Campagnolo Bora Ultra 35,Road,1029400,33,51:35.0,49:17.5
BMC Roadmachine,Campagnolo Bora Ultra 50,Road,1043600,27,51:08.5,49:17.5
BMC Roadmachine,DT Swiss ARC 1100 DICUT 62,Road,965500,21,51:00.5,49:16.5
BMC Roadmachine,DT Swiss ARC 1100 DICUT DISC,Road,2360700,42,50:35.0,49:35.0
BMC Roadmachine,ENVE SES 2.2,Road,972600,21,51:34.5,49:17.5
BMC Roadmachine,ENVE SES 3.4,Road,972600,21,51:08.5,49:16.0
BMC Roadmachine,ENVE SES 6.7,Road,972600,25,51:02.5,49:24.0
BMC Roadmachine,ENVE SES 7.8,Road,986800,39,50:50.0,49:20.0
BMC Roadmachine,ENVE SES 8.9,Road,986800,31,50:51.0,49:28.5
BMC Roadmachine,FFWD RYOT55,Road,894600,23,51:08.0,49:16.0
BMC Roadmachine,Giant SLR 0,Road,972700,22,51:11.5,49:16.5
BMC Roadmachine,Lightweight Meilenstein,Road,780900,21,51:21.0,49:08.0
BMC Roadmachine,Mavic Comete Pro Carbon SL UST,Road,922900,23,51:09.0,49:34.5
BMC Roadmachine,Mavic Cosmic CXR60c,Road,922900,21,51:13.0,49:32.5
BMC Roadmachine,Mavic Cosmic Ultimate UST,Road,922900,21,51:15.5,49:30.0
BMC Roadmachine,Novatec R4,Road,876800,24,51:31.0,49:29.0
BMC Roadmachine,Roval Alpinist CLX,Road,916200,32,51:21.5,49:08.0
BMC Roadmachine,Roval CLX64,Road,951300,21,51:04.5,49:24.0
BMC Roadmachine,Roval Rapide CLX,Road,976200,21,51:04.5,49:19.0
BMC Roadmachine,Shimano C40,Road,866200,21,51:22.5,49:27.5
BMC Roadmachine,Shimano C50,Road,869600,28,51:00.0,49:31.5
BMC Roadmachine,Shimano C50,Road,869600,28,51:00.0,49:31.5
BMC Roadmachine,Shimano C60,Road,873200,21,51:11.5,49:35.0
BMC Roadmachine,Zipp 202,Road,930100,21,51:29.5,49:18.5
BMC Roadmachine,Zipp 353 NSW,Road,1036500,21,51:05.5,49:16.0
BMC Roadmachine,Zipp 404,Road,930100,21,51:01.5,49:20.0
BMC Roadmachine,Zipp 454,Road,1064900,24,50:58.5,49:17.0
BMC Roadmachine,Zipp 808,Road,958500,21,50:52.5,49:26.0
BMC Roadmachine,Zipp 808/Super9,Road,1856600,35,50:43.5,49:35.0
BMC Roadmachine,Zipp 858,Road,1093300,37,50:48.5,49:23.0
BMC Roadmachine,Zipp 858/Super9,Road,2289700,45,50:41.5,49:34.0
BMC Roadmachine,Zwift 32mm Carbon,Road,780900,21,51:34.5,49:24.0
BMC Roadmachine,Zwift 50mm Carbon,Road,901600,21,51:22.0,49:25.0
BMC Roadmachine,Zwift Buffalo Fahrrad,Road,784100,40,51:39.5,49:31.0
BMC Roadmachine,Zwift Classic,Road,816500,21,51:40.5,49:32.0
BMC Roadmachine,Zwift Safety,Road,1490900,44,51:35.0,49:23.5
BMC SLR01,Bontrager Aeolus5,Road,546600,20,51:14.5,49:03.0
BMC SLR01,CADEX 36,Road,633600,26,51:27.0,48:58.5
BMC SLR01,CADEX 42,Road,603400,19,51:17.5,49:01.0
BMC SLR01,Campagnolo Bora Ultra 35,Road,624700,33,51:34.0,49:00.5
BMC SLR01,Campagnolo Bora Ultra 50,Road,638900,27,51:07.5,49:00.5
BMC SLR01,DT Swiss ARC 1100 DICUT 62,Road,560800,19,50:59.5,48:59.5
BMC SLR01,DT Swiss ARC 1100 DICUT DISC,Road,1956000,42,50:34.0,49:18.0
BMC SLR01,ENVE SES 2.2,Road,567900,19,51:33.5,49:00.5
BMC SLR01,ENVE SES 3.4,Road,567900,19,51:07.5,48:59.0
BMC SLR01,ENVE SES 6.7,Road,567900,25,51:01.5,49:07.0
BMC SLR01,ENVE SES 7.8,Road,582100,39,50:49.0,49:03.0
BMC SLR01,ENVE SES 8.9,Road,582100,31,50:50.0,49:11.5
BMC SLR01,FFWD RYOT55,Road,489900,23,51:07.0,48:59.0
BMC SLR01,Giant SLR 0,Road,568000,22,51:10.5,48:59.5
BMC SLR01,Lightweight Meilenstein,Road,376200,19,51:20.0,48:51.0
BMC SLR01,Mavic Comete Pro Carbon SL UST,Road,518200,23,51:08.0,49:17.5
BMC SLR01,Mavic Cosmic CXR60c,Road,518200,19,51:12.0,49:15.5
BMC SLR01,Mavic Cosmic Ultimate UST,Road,518200,19,51:14.5,49:13.0
BMC SLR01,Novatec R4,Road,472100,24,51:30.0,49:12.0
BMC SLR01,Roval Alpinist CLX,Road,511500,32,51:20.5,48:51.0
BMC SLR01,Roval CLX64,Road,546600,19,51:03.5,49:07.0
BMC SLR01,Roval Rapide CLX,Road,571500,19,51:03.5,49:02.0
BMC SLR01,Shimano C40,Road,461500,19,51:21.5,49:10.5
BMC SLR01,Shimano C50,Road,464900,28,50:59.0,49:14.5
BMC SLR01,Shimano C50,Road,464900,28,50:59.0,49:14.5
BMC SLR01,Shimano C60,Road,468500,19,51:10.5,49:18.0
BMC SLR01,Zipp 202,Road,525400,19,51:28.5,49:01.5
BMC SLR01,Zipp 353 NSW,Road,631800,19,51:04.5,48:59.0
BMC SLR01,Zipp 404,Road,525400,19,51:00.5,49:03.0
BMC SLR01,Zipp 454,Road,660200,24,50:57.5,49:00.0
BMC SLR01,Zipp 808,Road,553800,19,50:51.5,49:09.0
BMC SLR01,Zipp 808/Super9,Road,1451900,35,50:42.5,49:18.0
BMC SLR01,Zipp 858,Road,688600,37,50:47.5,49:06.0
BMC SLR01,Zipp 858/Super9,Road,1885000,45,50:40.5,49:17.0
BMC SLR01,Zwift 32mm Carbon,Road,376200,19,51:33.5,49:07.0
BMC SLR01,Zwift 50mm Carbon,Road,496900,19,51:21.0,49:08.0
BMC SLR01,Zwift Buffalo Fahrrad,Road,379400,40,51:38.5,49:14.0
BMC SLR01,Zwift Classic,Road,411800,19,51:39.5,49:15.0
BMC SLR01,Zwift Safety,Road,1086200,44,51:34.0,49:06.5
BMC Timemachine01,Bontrager Aeolus5,TT,951400,24,49:39.0,50:08.0
BMC Timemachine01,CADEX 36,TT,1038400,26,49:51.5,50:03.5
BMC Timemachine01,CADEX 42,TT,1008200,24,49:42.0,50:06.0
BMC Timemachine01,Campagnolo Bora Ultra 35,TT,1029500,33,49:58.5,50:05.5
BMC Timemachine01,Campagnolo Bora Ultra 50,TT,1043700,27,49:32.0,50:05.5
BMC Timemachine01,DT Swiss ARC 1100 DICUT 62,TT,965600,24,49:24.0,50:04.5
BMC Timemachine01,DT Swiss ARC 1100 DICUT DISC,TT,2360800,42,48:58.5,50:23.0
BMC Timemachine01,ENVE SES 2.2,TT,972700,24,49:58.0,50:05.5
BMC Timemachine01,ENVE SES 3.4,TT,972700,24,49:32.0,50:04.0
BMC Timemachine01,ENVE SES 6.7,TT,972700,25,49:26.0,50:12.0
BMC Timemachine01,ENVE SES 7.8,TT,986900,39,49:13.5,50:08.0
BMC Timemachine01,ENVE SES 8.9,TT,986900,31,49:14.5,50:16.5
BMC Timemachine01,FFWD RYOT55,TT,894700,24,49:31.5,50:04.0
BMC Timemachine01,Giant SLR 0,TT,972800,24,49:35.0,50:04.5
BMC Timemachine01,Lightweight Meilenstein,TT,781000,24,49:44.5,49:56.0
BMC Timemachine01,Mavic Comete Pro Carbon SL UST,TT,923000,24,49:32.5,50:22.5
BMC Timemachine01,Mavic Cosmic CXR60c,TT,923000,24,49:36.5,50:20.5
