Weight	Watts	w/kg	Height	Bike	Type	Wheels	Old Time	Gap	New Time	Gap	Old vs New	Notes												
75	300	4	183	Specialized Aethos	Standard	32mm Carbon	0,033900463	#REF!	48:50.0	#VALUE!	#VALUE!													
75	300	4	183	Cannondale EVO	Standard	32mm Carbon	0,03400463	#REF!	48:54.5	#VALUE!	#VALUE!													
75	300	4	183	Canyon Ultimate CFR	Standard	32mm Carbon			48:55.0	#VALUE!	#VALUE!													
75	300	4	183	Scott Addict RC	Standard	32mm Carbon			48:55.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Tarmac Pro	Standard	32mm Carbon	0,033993056	#REF!	48:56.0	#VALUE!	#VALUE!													
75	300	4	183	Bridgestone SR9s	Standard	32mm Carbon	0,03400463	#REF!	48:57.5	#VALUE!	#VALUE!													
75	300	4	183	Trek Emonda	Standard	32mm Carbon	0,034016204	#REF!	48:58.0	#VALUE!	#VALUE!													
75	300	4	183	Tron (Concept Z1)	Standard	Tron	0,034016204	#REF!	48:58.0	#VALUE!	#VALUE!													
75	300	4	183	Cannondale SuperSix EVO	Standard	32mm Carbon	0,034050926	#REF!	49:00.0	#VALUE!	#VALUE!													
75	300	4	183	Canyon Ultimate	Standard	32mm Carbon	0,034050926	#REF!	49:00.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Amira S-Works	Standard	32mm Carbon	0,034039352	#REF!	49:00.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Tarmac	Standard	32mm Carbon	0,0340625	#REF!	49:01.0	#VALUE!	#VALUE!													
75	300	4	183	Cervelo R5	Standard	32mm Carbon	0,0340625	#REF!	49:01.5	#VALUE!	#VALUE!													
75	300	4	183	Chapter2 Tere	Standard	32mm Carbon	0,0340625	#REF!	49:01.5	#VALUE!	#VALUE!													
75	300	4	183	Cube Litening	Standard	32mm Carbon	0,034085648	#REF!	49:02.0	#VALUE!	#VALUE!													
75	300	4	183	Trek Emonda SL	Standard	32mm Carbon	0,034074074	#REF!	49:03.0	#VALUE!	#VALUE!													
75	300	4	183	Felt AR	Standard	32mm Carbon	0,034155093	#REF!	49:05.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Venge S-Works	Standard	32mm Carbon	0,03412037	#REF!	49:05.0	#VALUE!	#VALUE!													
75	300	4	183	Giant TCR Advanced SL	Standard	32mm Carbon	0,034085648	#REF!	49:05.5	#VALUE!	#VALUE!													
