Weight	Watts	w/kg	Height	Bike	Type	Wheels	Old Time	Gap	New Time	Gap	Old vs New	Notes												
75	300	4	183	Canyon Speedmax CF SLX Disc	TT	32mm Carbon	0,034502315	#REF!	49:41.0	#VALUE!	#VALUE!													
75	300	4	183	Felt IA	TT	32mm Carbon	0,034537037	#REF!	49:44.0	#VALUE!	#VALUE!													
75	300	4	183	Cervelo PX-Series	TT	32mm Carbon	0,034537037	#REF!	49:44.5	#VALUE!	#VALUE!													
75	300	4	183	Specialized Shiv Disc	TT	32mm Carbon	0,034571759	#REF!	49:46.0	#VALUE!	#VALUE!													
75	300	4	183	Cervelo P5	TT	32mm Carbon	0,034618056	#REF!	49:51.0	#VALUE!	#VALUE!													
75	300	4	183	Ventum One	TT	32mm Carbon	0,034652778	#REF!	49:54.5	#VALUE!	#VALUE!													
75	300	4	183	BMC Time Machine	TT	32mm Carbon	0,034710648	#REF!	49:58.0	#VALUE!	#VALUE!													
75	300	4	183	Canyon Speedmax	TT	32mm Carbon	0,034710648	#REF!	49:58.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Shiv	TT	32mm Carbon	0,034710648	#REF!	49:58.0	#VALUE!	#VALUE!													
75	300	4	183	Diamondback Andean	TT	32mm Carbon	0,034699074	#REF!	49:58.0	#VALUE!	#VALUE!													
75	300	4	183	Scott Plasma	TT	32mm Carbon	0,034699074	#REF!	49:58.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Shiv S-Works	TT	32mm Carbon	0,034699074	#REF!	49:58.0	#VALUE!	#VALUE!													
75	300	4	183	Cube Aerium	TT	32mm Carbon	0,034699074	#REF!	49:58.5	#VALUE!	#VALUE!													
75	300	4	183	Pinarello Bolide	TT	32mm Carbon	0,034710648	#REF!	49:59.0	#VALUE!	#VALUE!													
75	300	4	183	Pinarello Bolide TT	TT	32mm Carbon	0,034710648	#REF!	49:59.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift TT	TT	32mm Carbon	0,034907407	#REF!	50:16.0	#VALUE!	#VALUE!													
75	300	4	183	Tron (Concept Z1)	Standard	Tron (Concept Z1)	0,035046296	#REF!	50:28.0	#VALUE!	#VALUE!													
75	300	4	183	Specialized Venge S-Works	Standard	32mm Carbon	0,035625	#REF!	51:18.5	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	DT Swiss ARC 62 Dicut Disc			50:25.5	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 858/Super9	0,035104167	#REF!	50:32.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 808/Super9	0,035115741	#REF!	50:34.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 858	0,035173611	#REF!	50:39.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	ENVE SES 7.8	0,035196759	#REF!	50:40.5	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	ENVE SES 8.9	0,035196759	#REF!	50:41.5	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 808	0,035219907	#REF!	50:43.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 454	0,035300926	#REF!	50:49.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Shimano C50			50:50.5	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	DT Swiss ARC 62	0,0353125	#REF!	50:51.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 404	0,035335648	#REF!	50:52.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	ENVE SES 6.7	0,035335648	#REF!	50:53.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Roval CLX64	0,035347222	#REF!	50:55.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Roval Rapide CLX	0,035347222	#REF!	50:55.0	#VALUE!	#VALUE!													
75	300	4	183	Zwift Aero	Standard	Zipp 353 NSW	0,03537037	#REF!	50:56.0	#VALUE!	#VALUE!													
