component	type	test_partner	tf	az
BMC Roadmachine	Frame	Zwift 32mm Carbon	51:34.5	49:24.0
BMC SLR01	Frame	Zwift 32mm Carbon	51:33.5	49:07.0
BMC Timemachine01	Frame	Zwift 32mm Carbon	49:58.0	50:12.0
Bridgestone Anchor RS9s	Frame	Zwift 32mm Carbon	51:33.0	48:57.5
Cannondale CAAD12	Frame	Zwift 32mm Carbon	51:35.0	49:30.5
Cannondale EVO	Frame	Zwift 32mm Carbon	51:33.0	48:54.5
Cannondale Super Six Evo	Frame	Zwift 32mm Carbon	51:30.0	49:00.0
Cannondale Synapse	Frame	Zwift 32mm Carbon	51:33.5	49:11.0
Cannondale System Six	Frame	Zwift 32mm Carbon	51:20.0	49:24.5
Canyon Aeroad	Frame	Zwift 32mm Carbon	51:21.5	49:20.0
Canyon Aeroad 2021	Frame	Zwift 32mm Carbon	51:21.5	49:21.5
Canyon Grail	Frame	Zwift Gravel	53:49.0	51:24.0
Canyon Inflite	Frame	Zwift Gravel	53:53.0	51:54.0
Canyon Lux	Frame	Zwift Mountain	55:43.5	55:40.0
Canyon Speedmax	Frame	Zwift 32mm Carbon	49:58.0	50:12.5
Canyon Speedmax CF SLX Disc	Frame	Zwift 32mm Carbon	49:41.0	50:09.0
Canyon Ultimate	Frame	Zwift 32mm Carbon	51:33.0	49:00.0
Canyon Ultimate CFR	Frame	Zwift 32mm Carbon	51:32.0	48:55.0
Cervelo Aspero	Frame	Zwift Gravel	53:47.0	51:38.0
Cervelo P5	Frame	Zwift 32mm Carbon	49:51.0	50:03.5
Cervelo PX-Series	Frame	Zwift 32mm Carbon	49:44.5	50:10.0
Cervelo R5	Frame	Zwift 32mm Carbon	51:33.5	49:01.5
Cervelo S3D	Frame	Zwift 32mm Carbon	51:23.5	49:32.5
Cervelo S5	Frame	Zwift 32mm Carbon	51:19.0	49:10.0
Cervelo S5 2020	Frame	Zwift 32mm Carbon	51:20.0	49:29.0
Chapter2 Rere	Frame	Zwift 32mm Carbon	51:28.0	49:23.0
Chapter2 TOA	Frame	Zwift 32mm Carbon	51:22.0	49:13.0
Chapter2 Tere	Frame	Zwift 32mm Carbon	51:33.5	49:01.5
Colnago V3RS	Frame	Zwift 32mm Carbon	51:34.0	49:11.5
Cube Aerium	Frame	Zwift 32mm Carbon	49:58.5	50:10.5
Cube Litening	Frame	Zwift 32mm Carbon	51:34.0	49:02.0
Cube Litening C:68X	Frame	Zwift 32mm Carbon	51:34.0	49:14.5
Diamondback Andean	Frame	Zwift 32mm Carbon	49:58.0	50:07.5
Factor One	Frame	Zwift 32mm Carbon	51:24.5	49:26.0
Felt AR	Frame	Zwift 32mm Carbon	51:19.0	49:05.0
Felt IA	Frame	Zwift 32mm Carbon	49:44.0	50:09.5
Focus Izalco Max	Frame	Zwift 32mm Carbon	51:22.5	49:10.0
Giant Propel Advanced SL Disc	Frame	Zwift 32mm Carbon	51:21.5	49:14.5
Giant TCR Advanced SL	Frame	Zwift 32mm Carbon	51:31.5	49:05.5
Giant TCR Advanced SL Disc	Frame	Zwift 32mm Carbon	51:31.0	49:19.0
Lauf True Grit Bike	Frame	Zwift Gravel	53:57.0	52:22.0
Liv Langma Advanced SL	Frame	Zwift 32mm Carbon	51:34.0	49:05.5
Liv Langma SL Advanced Disc	Frame	Zwift 32mm Carbon	51:32.0	49:24.0
Moots Vamoots RCS	Frame	Zwift 32mm Carbon	51:36.5	49:54.0
