component	type	test_partner	tf
BMC Roadmachine	Frame	Zwift 32mm Carbon	51:34.5
BMC SLR01	Frame	Zwift 32mm Carbon	51:33.5
BMC Timemachine01	Frame	Zwift 32mm Carbon	49:58.0
Bridgestone Anchor RS9s	Frame	Zwift 32mm Carbon	51:33.0
Cannondale CAAD12	Frame	Zwift 32mm Carbon	51:35.0
Cannondale EVO	Frame	Zwift 32mm Carbon	51:33.0
Cannondale Super Six Evo	Frame	Zwift 32mm Carbon	51:30.0
Cannondale Synapse	Frame	Zwift 32mm Carbon	51:33.5
Cannondale System Six	Frame	Zwift 32mm Carbon	51:20.0
Canyon Aeroad	Frame	Zwift 32mm Carbon	51:21.5
Canyon Aeroad 2021	Frame	Zwift 32mm Carbon	51:21.5
Canyon Grail	Frame	Zwift Gravel	53:49.0
Canyon Inflite	Frame	Zwift Gravel	53:53.0
Canyon Lux	Frame	Zwift Mountain	55:43.5
Canyon Speedmax	Frame	Zwift 32mm Carbon	49:58.0
Canyon Speedmax CF SLX Disc	Frame	Zwift 32mm Carbon	49:41.0
Canyon Ultimate	Frame	Zwift 32mm Carbon	51:33.0
Canyon Ultimate CFR	Frame	Zwift 32mm Carbon	51:32.0
Cervelo Aspero	Frame	Zwift Gravel	53:47.0
Cervelo P5	Frame	Zwift 32mm Carbon	49:51.0
Cervelo PX-Series	Frame	Zwift 32mm Carbon	49:44.5
Cervelo R5	Frame	Zwift 32mm Carbon	51:33.5
Cervelo S3D	Frame	Zwift 32mm Carbon	51:23.5
Cervelo S5	Frame	Zwift 32mm Carbon	51:19.0
Cervelo S5 2020	Frame	Zwift 32mm Carbon	51:20.0
Chapter2 Rere	Frame	Zwift 32mm Carbon	51:28.0
Chapter2 TOA	Frame	Zwift 32mm Carbon	51:22.0
Chapter2 Tere	Frame	Zwift 32mm Carbon	51:33.5
Colnago V3RS	Frame	Zwift 32mm Carbon	51:34.0
Cube Aerium	Frame	Zwift 32mm Carbon	49:58.5
Cube Litening	Frame	Zwift 32mm Carbon	51:34.0
Cube Litening C:68X	Frame	Zwift 32mm Carbon	51:34.0
Diamondback Andean	Frame	Zwift 32mm Carbon	49:58.0
Factor One	Frame	Zwift 32mm Carbon	51:24.5
Felt AR	Frame	Zwift 32mm Carbon	51:19.0
Felt IA	Frame	Zwift 32mm Carbon	49:44.0
Focus Izalco Max	Frame	Zwift 32mm Carbon	51:22.5
Giant Propel Advanced SL Disc	Frame	Zwift 32mm Carbon	51:21.5
Giant TCR Advanced SL	Frame	Zwift 32mm Carbon	51:31.5
Giant TCR Advanced SL Disc	Frame	Zwift 32mm Carbon	51:31.0
Lauf True Grit Bike	Frame	Zwift Gravel	53:57.0
Liv Langma Advanced SL	Frame	Zwift 32mm Carbon	51:34.0
Liv Langma SL Advanced Disc	Frame	Zwift 32mm Carbon	51:32.0
Moots Vamoots RCS	Frame	Zwift 32mm Carbon	51:36.5
Parlee ESX	Frame	Zwift 32mm Carbon	51:31.5
Parlee RZ7	Frame	Zwift 32mm Carbon	51:26.0
Pinarello Bolide	Frame	Zwift 32mm Carbon	49:59.0
Pinarello Bolide TT	Frame	Zwift 32mm Carbon	49:59.0
Pinarello Dogma 65.1	Frame	Zwift 32mm Carbon	51:31.5
Pinarello Dogma F	Frame	Zwift 32mm Carbon	51:23.0
Pinarello Dogma F10	Frame	Zwift 32mm Carbon	51:26.0
Pinarello Dogma F12	Frame	Zwift 32mm Carbon	51:23.0
Pinarello Dogma F8	Frame	Zwift 32mm Carbon	51:31.0
Ribble Endurance	Frame	Zwift 32mm Carbon	51:27.0
Ridley Helium	Frame	Zwift 32mm Carbon	51:34.0
Ridley Noah Fast 2019	Frame	Zwift 32mm Carbon	51:23.5
Scott Addict RC	Frame	Zwift 32mm Carbon	51:22.5
Scott Foil	Frame	Zwift 32mm Carbon	51:28.0
Scott Plasma	Frame	Zwift 32mm Carbon	49:58.0
Scott Spark RC	Frame	Zwift Mountain	55:42.0
Specialized Aethos	Frame	Zwift 32mm Carbon	51:33.0
Specialized Allez	Frame	Zwift 32mm Carbon	51:34.5
Specialized Allez Sprint	Frame	Zwift 32mm Carbon	51:23.0
