component,make,model,component_type,cat,drops,level,aero,weight
BMC Roadmachine,BMC,Roadmachine,Frame,Road,780900,21,2,3
BMC SLR01,BMC,SLR01,Frame,Road,376200,19,2,3
BMC Timemachine01,BMC,Timemachine01,Frame,TT,781000,24,4,1
Bridgestone Anchor RS9s,Bridgestone,Anchor RS9s,Frame,Road,511200,15,2,4
Cannondale CAAD12,Cannondale,CAAD12,Frame,Road,184500,2,2,2
Cannondale EVO,Cannondale,EVO,Frame,Road,213000,9,2,4
Cannondale Super Six Evo,Cannondale,Super Six Evo,Frame,Road,816500,36,3,4
Cannondale Synapse,Cannondale,Synapse,Frame,Road,298200,12,2,3
Cannondale System Six,Cannondale,System Six,Frame,Road,497000,27,3,3
Canyon Aeroad,Canyon,Aeroad,Frame,Road,532500,23,3,3
Canyon Aeroad 2021,Canyon,Aeroad 2021,Frame,Road,568000,10,3,3
Canyon Grail,Canyon,Grail,Frame,Gravel,355000,23,2,3
Canyon Inflite,Canyon,Inflite,Frame,Gravel,234300,10,2,3
Canyon Lux,Canyon,Lux,Frame,MTB,461500,10,1,1
Canyon Speedmax,Canyon,Speedmax,Frame,TT,710000,21,4,1
Canyon Speedmax CF SLX Disc,Canyon,Speedmax CF SLX Disc,Frame,TT,891000,26,4,1
Canyon Ultimate,Canyon,Ultimate,Frame,Road,461500,10,2,4
Canyon Ultimate CFR,Canyon,Ultimate CFR,Frame,Road,639000,19,2,4
Cervelo Aspero,Cervelo,Aspero,Frame,Gravel,426000,13,3,3
Cervelo P5,Cervelo,P5,Frame,TT,710000,15,4,1
Cervelo PX-Series,Cervelo,PX-Series,Frame,TT,1065000,45,4,1
Cervelo R5,Cervelo,R5,Frame,Road,461500,24,2,4
Cervelo S3D,Cervelo,S3D,Frame,Road,468600,13,3,2
Cervelo S5,Cervelo,S5,Frame,Road,603500,25,3,3
Cervelo S5 2020,Cervelo,S5 2020,Frame,Road,852000,27,3,3
Chapter2 Rere,Chapter2,Rere,Frame,Road,355000,16,3,3
Chapter2 Tere,Chapter2,Tere,Frame,Road,390500,6,2,4
Chapter2 TOA,Chapter2,TOA,Frame,Road,426000,18,3,2
Colnago V3RS,Colnago,V3RS,Frame,Road,695800,18,2,3
Cube Aerium,Cube,Aerium,Frame,TT,248500,28,4,1
Cube Litening,Cube,Litening,Frame,Road,177500,32,2,3
Cube Litening C:68X,Cube,Litening C:68X,Frame,Road,373500,32,2,3
Diamondback Andean,Diamondback,Andean,Frame,TT,572900,35,4,1
Factor One,Factor,One,Frame,Road,426000,8,3,3
Felt AR,Felt,AR,Frame,Road,639000,34,3,3
Felt IA,Felt,IA,Frame,TT,1065000,37,4,1
