component,make,model,component_type,cat,drops,level,aero,weight,test_partner,tf,az
BMC Roadmachine,BMC,Roadmachine,Frame,Road,780900,21,2,3,Zwift 32mm Carbon,51:34.5,49:24.0
BMC SLR01,BMC,SLR01,Frame,Road,376200,19,2,3,Zwift 32mm Carbon,51:33.5,49:07.0
BMC Timemachine01,BMC,Timemachine01,Frame,TT,781000,24,4,1,Zwift 32mm Carbon,49:58.0,50:12.0
Bridgestone Anchor RS9s,Bridgestone,Anchor RS9s,Frame,Road,511200,15,2,4,Zwift 32mm Carbon,51:33.0,48:57.5
Cannondale CAAD12,Cannondale,CAAD12,Frame,Road,184500,2,2,2,Zwift 32mm Carbon,51:35.0,49:30.5
Cannondale EVO,Cannondale,EVO,Frame,Road,213000,9,2,4,Zwift 32mm Carbon,51:33.0,48:54.5
Cannondale Super Six Evo,Cannondale,Super Six Evo,Frame,Road,816500,36,3,4,Zwift 32mm Carbon,51:30.0,49:00.0
Cannondale Synapse,Cannondale,Synapse,Frame,Road,298200,12,2,3,Zwift 32mm Carbon,51:33.5,49:11.0
Cannondale System Six,Cannondale,System Six,Frame,Road,497000,27,3,3,Zwift 32mm Carbon,51:20.0,49:24.5
Canyon Aeroad,Canyon,Aeroad,Frame,Road,532500,23,3,3,Zwift 32mm Carbon,51:21.5,49:20.0
Canyon Aeroad 2021,Canyon,Aeroad 2021,Frame,Road,568000,10,3,3,Zwift 32mm Carbon,51:21.5,49:21.5
Canyon Grail,Canyon,Grail,Frame,Gravel,355000,23,2,3,Zwift Gravel,53:49.0,51:24.0
Canyon Inflite,Canyon,Inflite,Frame,Gravel,234300,10,2,3,Zwift Gravel,53:53.0,51:54.0
Canyon Lux,Canyon,Lux,Frame,MTB,461500,10,1,1,Zwift Mountain,55:43.5,55:40.0
Canyon Speedmax,Canyon,Speedmax,Frame,TT,710000,21,4,1,Zwift 32mm Carbon,49:58.0,50:12.5
Canyon Speedmax CF SLX Disc,Canyon,Speedmax CF SLX Disc,Frame,TT,891000,26,4,1,Zwift 32mm Carbon,49:41.0,50:09.0
Canyon Ultimate,Canyon,Ultimate,Frame,Road,461500,10,2,4,Zwift 32mm Carbon,51:33.0,49:00.0
Canyon Ultimate CFR,Canyon,Ultimate CFR,Frame,Road,639000,19,2,4,Zwift 32mm Carbon,51:32.0,48:55.0
Cervelo Aspero,Cervelo,Aspero,Frame,Gravel,426000,13,3,3,Zwift Gravel,53:47.0,51:38.0
Cervelo P5,Cervelo,P5,Frame,TT,710000,15,4,1,Zwift 32mm Carbon,49:51.0,50:03.5
Cervelo PX-Series,Cervelo,PX-Series,Frame,TT,1065000,45,4,1,Zwift 32mm Carbon,49:44.5,50:10.0
Cervelo R5,Cervelo,R5,Frame,Road,461500,24,2,4,Zwift 32mm Carbon,51:33.5,49:01.5
Cervelo S3D,Cervelo,S3D,Frame,Road,468600,13,3,2,Zwift 32mm Carbon,51:23.5,49:32.5
Cervelo S5,Cervelo,S5,Frame,Road,603500,25,3,3,Zwift 32mm Carbon,51:19.0,49:10.0
Cervelo S5 2020,Cervelo,S5 2020,Frame,Road,852000,27,3,3,Zwift 32mm Carbon,51:20.0,49:29.0
Chapter2 Rere,Chapter2,Rere,Frame,Road,355000,16,3,3,Zwift 32mm Carbon,51:28.0,49:23.0
Chapter2 Tere,Chapter2,Tere,Frame,Road,390500,6,2,4,Zwift 32mm Carbon,51:33.5,49:01.5
Chapter2 TOA,Chapter2,TOA,Frame,Road,426000,18,3,2,Zwift 32mm Carbon,51:22.0,49:13.0
Colnago V3RS,Colnago,V3RS,Frame,Road,695800,18,2,3,Zwift 32mm Carbon,51:34.0,49:11.5
Cube Aerium,Cube,Aerium,Frame,TT,248500,28,4,1,Zwift 32mm Carbon,49:58.5,50:10.5
