component,make,model,component_type,cat,test_partner,tf,az
Specialized Aethos,Specialized,Aethos,Frame,Road,Zwift 32mm Carbon,51:33.0,48:50.0
Cannondale EVO,Cannondale,EVO,Frame,Road,Zwift 32mm Carbon,51:33.0,48:54.5
Canyon Ultimate CFR,Canyon,Ultimate CFR,Frame,Road,Zwift 32mm Carbon,51:32.0,48:55.0
Scott Addict RC,Scott,Addict RC,Frame,Road,Zwift 32mm Carbon,51:22.5,48:55.0
Specialized Tarmac Pro,Specialized,Tarmac Pro,Frame,Road,Zwift 32mm Carbon,51:33.0,48:56.0
Bridgestone Anchor RS9s,Bridgestone,Anchor RS9s,Frame,Road,Zwift 32mm Carbon,51:33.0,48:57.5
Trek Emonda,Trek,Emonda,Frame,Road,Zwift 32mm Carbon,51:33.5,48:58.0
Zwift Concept Z1,Zwift,Concept Z1,Bike,Road,Zwift Concept Z1,50:28.0,48:58.0
Cannondale Super Six Evo,Cannondale,Super Six Evo,Frame,Road,Zwift 32mm Carbon,51:30.0,49:00.0
Canyon Ultimate,Canyon,Ultimate,Frame,Road,Zwift 32mm Carbon,51:33.0,49:00.0
Specialized Amira S-Works,Specialized,Amira S-Works,Frame,Road,Zwift 32mm Carbon,51:33.5,49:00.0
Specialized Tarmac,Specialized,Tarmac,Frame,Road,Zwift 32mm Carbon,51:33.5,49:01.0
Cervelo R5,Cervelo,R5,Frame,Road,Zwift 32mm Carbon,51:33.5,49:01.5
Chapter2 Tere,Chapter2,Tere,Frame,Road,Zwift 32mm Carbon,51:33.5,49:01.5
Cube Litening,Cube,Litening,Frame,Road,Zwift 32mm Carbon,51:34.0,49:02.0
Trek Emonda SL,Trek,Emonda SL,Frame,Road,Zwift 32mm Carbon,51:34.0,49:03.0
Felt AR,Felt,AR,Frame,Road,Zwift 32mm Carbon,51:19.0,49:05.0
Specialized Venge S-Works,Specialized,Venge S-Works,Frame,Road,Zwift 32mm Carbon,51:18.5,49:05.0
Giant TCR Advanced SL,Giant,TCR Advanced SL,Frame,Road,Zwift 32mm Carbon,51:31.5,49:05.5
Liv Langma Advanced SL,Liv,Langma Advanced SL,Frame,Road,Zwift 32mm Carbon,51:34.0,49:05.5
Specialized Amira,Specialized,Amira,Frame,Road,Zwift 32mm Carbon,51:33.5,49:06.0
Specialized Roubaix S-Works,Specialized,Roubaix S-Works,Frame,Road,Zwift 32mm Carbon,51:33.0,49:06.5
Specialized Ruby S-Works,Specialized,Ruby S-Works,Frame,Road,Zwift 32mm Carbon,51:33.5,49:06.5
BMC SLR01,BMC,SLR01,Frame,Road,Zwift 32mm Carbon,51:33.5,49:07.0
Pinarello Dogma F12,Pinarello,Dogma F12,Frame,Road,Zwift 32mm Carbon,51:23.0,49:09.0
Cervelo S5,Cervelo,S5,Frame,Road,Zwift 32mm Carbon,51:19.0,49:10.0
Focus Izalco Max,Focus,Izalco Max,Frame,Road,Zwift 32mm Carbon,51:22.5,49:10.0
Cannondale Synapse,Cannondale,Synapse,Frame,Road,Zwift 32mm Carbon,51:33.5,49:11.0
Colnago V3RS,Colnago,V3RS,Frame,Road,Zwift 32mm Carbon,51:34.0,49:11.5
Trek Madone,Trek,Madone,Frame,Road,Zwift 32mm Carbon,51:19.0,49:12.0
Pinarello Dogma F10,Pinarello,Dogma F10,Frame,Road,Zwift 32mm Carbon,51:26.0,49:12.5
Scott Foil,Scott,Foil,Frame,Road,Zwift 32mm Carbon,51:28.0,49:12.5
Specialized Allez Sprint,Specialized,Allez Sprint,Frame,Road,Zwift 32mm Carbon,51:23.0,49:13.0
Chapter2 TOA,Chapter2,TOA,Frame,Road,Zwift 32mm Carbon,51:22.0,49:13.0
Giant Propel Advanced SL Disc,Giant,Propel Advanced SL Disc,Frame,Road,Zwift 32mm Carbon,51:21.5,49:14.5
Cube Litening C:68X,Cube,Litening C:68X,Frame,Road,Zwift 32mm Carbon,51:34.0,49:14.5
Pinarello Dogma F8,Pinarello,Dogma F8,Frame,Road,Zwift 32mm Carbon,51:31.0,49:15.0
Specialized Roubaix,Specialized,Roubaix,Frame,Road,Zwift 32mm Carbon,51:34.0,49:15.0
Specialized Ruby,Specialized,Ruby,Frame,Road,Zwift 32mm Carbon,51:34.0,49:15.0
Pinarello Dogma F,Pinarello,Dogma F,Frame,Road,Zwift 32mm Carbon,51:23.0,49:18.0
Specialized Tarmac SL7,Specialized,Tarmac SL7,Frame,Road,Zwift 32mm Carbon,51:31.5,49:18.0
Ridley Helium,Ridley,Helium,Frame,Road,Zwift 32mm Carbon,51:34.0,49:18.0
Giant TCR Advanced SL Disc,Giant,TCR Advanced SL Disc,Frame,Road,Zwift 32mm Carbon,51:31.0,49:19.0
Parlee ESX,Parlee,ESX,Frame,Road,Zwift 32mm Carbon,51:31.5,49:19.5
Canyon Aeroad,Canyon,Aeroad,Frame,Road,Zwift 32mm Carbon,51:21.5,49:20.0
Van Rysel EDR CF,Van Rysel,EDR CF,Frame,Road,Zwift 32mm Carbon,51:34.5,49:20.0
Parlee RZ7,Parlee,RZ7,Frame,Road,Zwift 32mm Carbon,51:26.0,49:21.0
Canyon Aeroad 2021,Canyon,Aeroad 2021,Frame,Road,Zwift 32mm Carbon,51:21.5,49:21.5
Chapter2 Rere,Chapter2,Rere,Frame,Road,Zwift 32mm Carbon,51:28.0,49:23.0
Specialized Venge,Specialized,Venge,Frame,Road,Zwift 32mm Carbon,51:20.0,49:23.0
BMC Roadmachine,BMC,Roadmachine,Frame,Road,Zwift 32mm Carbon,51:34.5,49:24.0
Liv Langma SL Advanced Disc,Liv,Langma SL Advanced Disc,Frame,Road,Zwift 32mm Carbon,51:32.0,49:24.0
Cannondale System Six,Cannondale,System Six,Frame,Road,Zwift 32mm Carbon,51:20.0,49:24.5
Ridley Noah Fast 2019,Ridley,Noah Fast 2019,Frame,Road,Zwift 32mm Carbon,51:23.5,49:24.5
Factor One,Factor,One,Frame,Road,Zwift 32mm Carbon,51:24.5,49:26.0
Ribble Endurance,Ribble,Endurance,Frame,Road,Zwift 32mm Carbon,51:27.0,49:26.0
Zwift Aero,Zwift,Aero,Frame,Road,Zwift 32mm Carbon,51:25.0,49:28.0
Uranium Nuclear,Uranium,Nuclear,Frame,Road,Zwift 32mm Carbon,51:19.0,49:28.0
Cervelo S5 2020,Cervelo,S5 2020,Frame,Road,Zwift 32mm Carbon,51:20.0,49:29.0
Cannondale CAAD12,Cannondale,CAAD12,Frame,Road,Zwift 32mm Carbon,51:35.0,49:30.5
Pinarello Dogma 65.1,Pinarello,Dogma 65.1,Frame,Road,Zwift 32mm Carbon,51:31.5,49:32.0
Cervelo S3D,Cervelo,S3D,Frame,Road,Zwift 32mm Carbon,51:23.5,49:32.5
Specialized Allez,Specialized,Allez,Frame,Road,Zwift 32mm Carbon,51:34.5,49:33.5
Zwift Carbon,Zwift,Carbon,Frame,Road,Zwift 32mm Carbon,51:36.0,49:47.0
